#Person1#'s getting a check-up, and Doctor #Person2# advises him to have one every year.	get a check-up
#Person1#'s looking for a set of keys and asks for #Person2#'s help to find them.	find keys
#Person1#'s angry because #Person2# didn't tell #Person1# that #Person2# had a girlfriend and would marry her.	have a girlfriend
#Person1# gives Aims a birthday present and Aims loves it.	birthday
#Person1# tells #Person2# the fare of taking a taxi.	pay the fare
#Person1# shows a basic computer package to #Person2#.	a job application
#Person1# has an interview with a visa official.	a computer package
#Person1# asks #Person2# to do a favor.	a visa
#Person2# thinks the picture is lovely and asks #Person1# to give a slide and a wallet-size print.	do a favor
#Person2# suggests #Person1# use a spam filter to reject #Person3#'s pornographic stuff.	a copy
#Person1# and #Person2# are talking about their families' ages.	sexual harrassment
#Person2# likes dance music while #Person1# prefers classical music.	age
#Person1# asks #Person2# whether she plans on having more babies.	Valentine's Day
#Person1# and #Person2# are talking about different choices of ice cream.	triplets
#Person1# invites #Person2# to work together, and #Person2# agrees.	ice cream
#Person1#'s getting dressed in the car, and #Person2# warns her not.	work together
#Person1# asks #Person2# what they need to do when they check in at the Air China's counter.	get dressed
#Person1# calls #Person2# because #Person1# needs a mover.	check in
#Person1# tells #Person2# he feels sick since Sunday and he has to recover before his presentation on Friday.	study for exams
#Person2# recommends #Person1# to buy a cheaper MA-205 on the Internet by using a search engine.	talk about operas
#Person1# asks many questions hoping someone can help him.	the weather
#Person1# and #Person2# are doing a program.	have no kids
#Person1# tells #Person2# her car is broken but she has to pick Tom.	go to Hainan
#Person1# wants to borrow #Person2#'s car.	make noises
#Person1# asks #Person2# some questions about #Person2#'s visit to the States and will give #Person2# an answer about January 10th.	a professor
#Person1#'s doing market research for a new television channel, and #Person1# interviews #Person2# about some questions.	order a meal
After denying #Person1#'s many suggestions, #Person2# ultimately decides to go to the library to borrow some books with #Person1#.	immigration control
#Person1# complains to #Person2# that #Person2# plays the music too loudly.	business negociation
#Person1# has had enough of getting up early but still is late for work.	speak to someone
#Person1# and #Person2# talk about the book #Person2# is reading.	cancel an account
#Person1# sees #Person2#'s engagement ring and asks about her wedding.	have an argument
#Person1# wants to register for the mathematics course, but #Person2# says registration has closed.	the boss
#Person2# wants to buy a camcorder, and would like to see the smallest Sony model.	bargaining
#Person1# and #Person2# think Dalian is a beautiful city and comfortable to live in.	attend a conference
#Person1# invites #Person1# to have lunch together if #Person1#'s coming into the city.	feel sick
#Person1# feels sick because he doesn't eat properly and has too much work.	buy a camera
#Person1# tells #Person2# a report #Person1# reads that mainly on people's different attitudes for learning a foreign language.	lose the camera
The police found drugs in #Person2#'s house and are taking #Person2# into custody, but #Person2# claims to be innocent.	plants and birds
#Person1# wants a new living room set.	car is broken
#Person1# will buy some chips and #Person2# will get a Snickers from the Cafeteria.	borrow the car
#Person2# gives #Person1# some suggestions about making a good impression in interviews.	the passport
#Person2# gives #Person1# suggestions about what to wear on #Person1#'s first day at work.	job search
#Person1# goes to the commencement with Bill.	this afternoon's plan
#Person1# and #Person2# plan the election of club officials.	make a complaint
#Person2# confirms to #Person1# that it's OK to go home next weekend as a birthday surprise for #Person1#'s brother.	ride a bike
#Person2# tells #Person1# about #Person2#'s certificate of technical qualifications, license, special skills, and experience in programming.	buy books
#Person2# invites #Person2# to a Chinese restaurant and introduces different features of Chinese food.	the wedding
#Person1# asks #Person2# to buy #Person1# a burrito because #Person1# has no money.	registration
#Person2# decides to renew #Person2#'s fixed deposits with #Person1#'s advice.	love for Dalian
The reporter #Person1# interviews #Person2# about #Person2#'s vote.	reusable grocery bags
#Person1# and #Person1# talk about how they spent their last weekends.	custody
#Person2# at first is not interested in subscribing periodicals, but she changes her mind after hearing #Person2#'s introduction.	living room set
#Person1# takes #Person2#'s taxi to Capital Airport.	buy snacks
#Person2# buys eggs and some green tea with #Person1#'s assistance.	get a takeaway
#Person1# tells #Person2# that she needs transportation for the party.	graduation
#Person2# and #Person1# discuss how exciting the movie was.	club officials election
#Person1# gives #Person2# the details of their trip next week.	Birthday Surprise
#Person1# invites #Person2# to watch the Houston Open but #Person2# will be on business.	leave the Company
#Person1#'s considering getting a new T-shirt with #Person1#'s school's logo.	Chinese Food
Lily tells #Person1# about her new flat which is 10 minutes' walk from her office.	borrow money
#Person2# reminds #Person1# that #Person3# asked #Person1# to take magazines back to the library.	Check in
#Person2# explains to #Person1# why movie box office sales are down, but #Person2# still thinks movies business is healthy and great.	consultation
#Person2# pays for a single fare with #Person1#'s assistance.	rent the apartment
#Person2# tells #Person1# about an animal named #Person3# and promises #Person3# is healthy.	life discussion
#Person1# tells her dad that she refused to let #Person2# copy her math homework.	Exterminator
#Person2# phones Hillside Gallery for information about a photography exhibition this weekend.	lose a wallet
#Person1# advertises a website to #Person2# by quoting the example of Sammo Hung.	periodicals subscriptions
#Person1# and #Person2# both think cancer is caused by more worry than food.	keep fit
#Person2# tells #Person1# to check the bulletin board and websites for housing information.	business trip
#Person1# can barely make ends meet because his brother used his phone and the phone bill is high.	golf tournaments
#Person2# tells #Person1# the kids' sports performances are satisfying.	Customer Service
#Person2# invites #Person2# to go hunting and #Person2# agrees.	New T-shirts
#Person1# asks #Person2# some information about a lovely girl.	Movies
#Person1# tells #Person2# #Person1# wants to be a politician, and #Person2# thinks it's great.	adopt an animal
#Person1# gives #Person2# a chess board and introduces all the pieces in chess to teach him how to play.	social casual talk
#Person1# tells #Person1# low-income people are more likely to get fat because they eat more junk food.	advertisement
#Person2# tells #Person1# their product features inventory tracking software and has a training seminar without any hidden costs.	Train
#Person1# helps #Person2# find a table by the window for dinner.	Chrismas gift
#Person2# tells #Person1# #Person2# felt awkward when taking the place of the old boss after he was demoted.	keep healthy
#Person1# and #Person2# bargain on the rent.	restaurant reservation
#Person1# advises #Person2# to buy things online, and #Person2# thinks it's unbelievable.	plan to meet
#Person1# and #Person2# are discussing where to put the vase, and they finally put it on the shelf.	lifestyle changes
#Person1# chooses an old music box with dancing figures from #Person2#, and #Person2# tells #Person1# there is no warranty.	apartment information
#Person2# complains to #Person1# that the apartment is terrible and #Person2# want s to move into a highrise near the university.	hurting for money
Justin helps #Person1# move the weights but hurt his back.	sport performances
#Person1# plans to rent a suitable flat because he's getting married to Mandy.	hunting invitation
#Person1# suggests redecorating the house but #Person2# says it costs much money.	discuss crimes
Mum's planting cabbage and teaches #Person1# how to do it.	cut hair
#Person1# buys one pound of ground beef and three pounds of chicken breasts from #Person2#.	describe a person
#Person1# tells #Person2# #Person3# was caught stealing but his relatives went bail for him.	buy a ticket
#Person1# advises #Person2# to quit smoking, but #Person2# says he needs something to keep awake.	business advice
#Person1# helps #Person2# and #Person3# order dessert and drinks.	chess rules
#Person1# will meet #Person2# at the gate in Waterloo and tells #Person2# to make sure to get a northern underground.	place an order
#Person2# wants to rent the flat, and #Person1# tells #Person2# some information.	discuss obesity
#Person2# helps #Person1# book a room for 3 and gives #Person1# a discount.	product introduction
#Person1# advises #Person2# to be an air hostess or an interpreter, but #Person2# wants to be an international business woman.	restaurant service
#Person1# tells #Person2# the school has new options for food service.	get aboard
#Person1# invites #Person2# to go out but #Person2# refuses because #Person2#'s favorite show is coming.	online shopping
#Person1# invites #Person2# to a dinner party at the London-Chinese restaurant and asks her to dress formally.	place a vase
#Person1# is moving out but #Person2# refuses to return the deposits because the lease is not over.	choose an appartment
#Person1# helps #Person2# order a Big Mac, some French Fries, and a coke.	get hurt
#Person1# leaves the message of Higgins' reservation at Penny's Pet Boutique to Barneys Garage.	redecorate the house
#Person1# wants to leave early and Professor asks the reason and #Person1#'s make-up plan.	meat shopping
#Person1# asks the new condition of #Person2# and #Person2# hasn't organized everything yet.	visit someone
#Person2# is moving and saying goodbye to #Person1#.	social meeting
#Person1# compliments #Person2#'s lovely voice and singing.	stealing
#Person1# and #Person2# discuss their summer plans.	bad habit
#Person2# tells #Person1# that #Person2# likes watching basketball, football, table tennis, and participating in tennis, and skiing.	hotel service
#Person1# interviews #Person2# on personality, teamwork, and hobbies.	future career
#Person2# answers #Person1# the functions of the Human Resource Department and #Person2# tells #Person1# examples.	play the piano
#Person1# damaged #Person2#'s car and they complain about parking and transportation.	invitation
#Person1# interviews #Person2# about strength, weakness, and teamwork.	preparation for dinner
#Person1# asks #Person2# the way to Wang Fu Jing and #Person2# tells #Person1# the detailed routine through bus.	deposit conflicts
#Person1# and #Person2# decides between which coffee table to buy and choose an inexpensive one.	green hand feeling
#Person1# wants to make an appointment with #Person2# to check a swelled ankle.	help pitch
#Person1# and #Person2# want to get something special but affordable for an old man's sixtieth.	leave and make-up plan
#Person1#'s house was burnt down and he is stressed.	farewell
#Person1# sends #Person2# a computer for his birthday and #Person2# is happy.	compliment
#Person1# asks #Person2#'s plan for leaving for Beijing and #Person2# tells #Person1# the details and her parents will see her off.	summer plan
#Person1# is late and an ambassador is waiting.	unsatisfactory food
#Person1# gets a new car with great wheels and he will go for a spin with Bill.	reservation
#Person1# asks Lily about her duration in China.	Human Resource Department
#Person1# is interested in #Person2#'s job.	car repairment
#Person1# and #Person2# decides on painting the house and #Person1# denies red because red makes people fat.	salary comparison
#Person2# analyzed that #Person1# is fired because #Person1# did not use time well nor learned new things.	work arrangement
#Person1# and #Person2# complain about how people treat the coffee pot and the microwave.	retirement plan
John Smith will come to #Person2#'s office to talk about the house for sale.	personality
#Person1# tells #Person2# a $700-per-month apartment allowing pets is for rent.	ask direction
After #Person1# shows his account number and passport, #Person2# helps #Person1# exchange 5000 Singapore dollars into US dollars.	knowing new people
#Person1# calls Mary, but #Person2# says she's not checked in, so #Person1# leaves a message.	purchase
#Person1# keeps asking #Person2# to buy food for #Person1#.	robbery report
#Person1# met #Person2# and they find out #Person3# mentioned them to each other.	gift
#Person1# thinks #Person2# doesn't need to pay since they're friends.	guidance for new-comers
#Person1# tells #Person2# people now have nuclear families composed of parents and one child, but #Person1# likes traditional families.	talk on homework
#Person1# wants to borrow some money from Henry but Henry doesn't have any.	farewell before flight
#Person1# moved in #Person2#'s next door and #Person2# invites him to have a drink.	wine selection
#Person2#'s reading a sci-fi thriller.	Bill's commuting
#Person2# says #Person1# can go home tomorrow but can't work very soon.	new car trial
#Person1# asks #Person2# to pick up #Person3# because #Person1# has to attend the meeting.	different diet
#Person1# picks a hair but #Person2# recommends a more modern one.	room reservation
#Person1# calls #Person2# to check whether the remittance is received.	job and leisure
#Person2# wants to return the slacks because they don't match her blouse but #Person1# says the slacks were on sale	room color
#Person1# saw Corollas are on sale and #Person2# says the Corolla has all power options and it costs $16000.	dismissal reason
#Person2# wants a raise because #Person2# has worked long and well.	misbehavior
#Person1# thinks the children are noisy.	company policy
#Person2# tells #Person1# the reason why the production stopped and there's oil over the floor.	set an appointment
#Person1# helps Black reserve a single economy plane ticket to Shanghai, leaving on October 15th at 10.	apartment for rent
Zina describes the details of the email #Person1# sent to her.	currency service
#Person2# invites two people that fill the absence of #Person1#'s dinner.	refill a prescription
#Person1# and #Person2# are sharing their different attitudes towards different animals.	discuss the family
#Person1# helps #Person2# order American breakfast with fried eggs and breakfast juice with strong coffee.	a new neighbor
#Person1# thinks #Person2#'ll regret not choosing the girl but #Person2# doesn't think so.	talk about books
#Person1# asks #Person2# to tell him about the Flower Show.	doctor's advice
#Person2#'s bag was lost yesterday.	pick up someone
#Person1# and #Person2# are in the last year of high school.	hair service
#Person2#'s stuck on an article.	hang out
#Person2# tells #Person1# #Person1# can book tickets for red or blue routes by phone or on the website.	bank service
#Person2#'s sick because of the food at the new restaurant.	return slacks
#Person1# and #Person2# haven't seen each other for ages.	unemployment benefits application
#Person1#'ll send #Person2#'s package to France in one week for $40 without tracing service.	get a raise
#Person2# argues #Person2# wasn't speeding and #Person1# lets #Person2# go with just a warning.	deal with children
#Person1# wants to apply for a sales manager at ABC Corporation.	explain reasons
#Person2# wants to exercise and consults #Person1#.	curse
#Person1# and #Person2# recall the past happiness and difficulties they have encountered and wish each other a happy anniversary.	discuss the teacher
#Person2# asks J P Interior Design to redesign #Person2#'s kitchen in a more contemporary way.	stop sandstorms
#Person2# tells #Person1# stockholders meetings are held biannually.	dinner guests
#Person1#'s daughter wants to strive to work instead of settling down and starting a family.	discuss animals
#Person2# agrees to refund #Person1#'s delivery fee since the delivery of the mattress was late.	body growth
#Person2# suggests trying some after-dinner wines and #Person1# chooses port.	city weather
#Person1# and #Person2# talk about the weather of different seasons in their cities.	regret
#Person1# helps #Person2# purchase traveler's cheques worth 5000 Euros.	the flower show
#Person1# wants to find a new place to live.	lost and found
#Person1# asks #Person2# to get some rest and relax but #Person2# refuses.	school plan
#Person1# asks #Person2# to give #Person1# two wake-up calls tomorrow morning at 7:00 and 7:30.	writing inspiration
#Person1# recovers from illness and wants to go to school.	book tickets
#Person2# requests #Person1# to send some clothes to the laundry.	food poison
#Person1# finds #Person1# wasn't informed that a meeting was postponed.	homeschooling
#Person1# offers to help #Person2# redecorate #Person2#'s old house.	package delivery service
#Person2# tells #Person1# that movies impress #Person2# more than books and describes #Person2#'s feelings towards the movie Titanic.	argue the ticket
#Person1# worked as a guide at a museum while #Person1# stayed up watching soccer games at the weekend.	job application
#Person1# and #Person2# have different ideas about where to plant a tree.	the training program
#Person1# tells #Person2# that his girlfriend Stephanie, who is also #Person1#'s sister, is back on drugs.	get some exercise
#Person2# concocts excuses for being late for school today and yesterday.	happy anniversary
#Person1# and #Person2# don't go to the cinema a lot now.	redesign the kitchen
#Person2# tells #Person1# #Person1# cannot take the book out because it's been reserved by Smith.	stockholders meetings
#Person2# tells #Person1# about the kids' satisfying performance at sports.	refund
#Person1# and #Person2# talk about what to eat.	after-dinner wine
#Person1# and Nally talk about where to have lunch.	break-up
#Person1# forces #Person2# to guarantee #Person1# 5 percent.	seasons
#Person2#'s looking for a cotton polo shirt and #Person1# offers recommendations.	purchase traveler's cheques
#Person2# will go to Madrid for the annual conference, which would be #Person2#'s first trip overseas.	refusal
#Person1# tells #Person2# #Person1# is resigning from the current job and will move on to XYZ company.	morning calls
#Person1#'s computer has got a horrible virus and #Person2# suggests having the IT department run a virus disinfection program.	a missing memo
#Person1# tells Brooke Professor Johnson called and asked him to call back.	an impressive move
#Person1# can't sleep because #Person1#'s worried about a test.	 weekend activities
#Person2# suggests dancing or going to the movies, but #Person1# prefers to play bridge although because #Person1#'s tired.	drug addiction
#Person1# wants to buy an mp4 player.	make excuses
#Person1# is fit because he exercises very often while #Person1# hardly ever exercises.	movies
#Person1#'s helping #Person2# tailor-make a new suit because #Person2# needs to look sharp for an important interview next week.	borrow a book
#Person1# checks out with #Person1#'s assistance.	Internet matchmaking service
#Person2# measures #Person1#'s waist and assists #Person1# in trying on trousers.	give up swimming
#Person1# tells #Person2# about her key strengths, personal qualities, and her most positive quality.	kids' sport performance
#Person1# tells #Person2# how to take the local train to get to Wall Street.	what to eat
#Person1# and #Person2# hope it doesn't rain today and want it to cool down some.	have lunch
#Person1# and #Person2# are talking about the film The Godfather.	a fantastic dress
#Person1# interviews #Person2# about what #Person2# would like for breakfast and lunch, #Person2#'s favorite fruit, and where #Person2# always has meals.	first trip overseas
#Person1# interviews #Person2# about #Person2#'s commuting ways and #Person2#'s opinions about the rail service.	resign the job
#Person1# and #Person2# are discussing why David Peckham is so popular.	office arguement
#Person2# wants to get married while #Person1# wants to be a bachelor forever.	choose courses abroad
#Person2# makes a flight reservation to Los Angeles with #Person1#'s assistance.	computer virus
#Person1# tells #Person2# #Person2#'s products are popular among Asian customers, so #Person1# would like to hand a sole agent for #Person2#.	prepare dinner
#Person1# and #Person2# talk about the famous flea market in Paris -- Les Puces.	a phone message
#Person2# gets his hair done and has his beard shaved with #Person1#'s assistance.	sleep problems
#Person2# tells #Person1# that #Person2# wants to take the police to court because they mistakenly arrested #Person2#.	go sightseeing
#Person1# tells #Person1# about his interesting shopping trip.	a new suit
#Person1# and #Person2# complain about the lack of buses on the route.	a perfect fit
#Person1# may go grocery shopping later and requests #Person2# to make a shopping list	traveler's checks
#Person1# pays a visit to the #Person2# with lovely flowers and a bottle of Mao-tai.	David Peckham
#Person1# requests #Person2# to lend her five hundred yuan.	plan for future
#Person2#'s feet hurt so she needs new shoes.	flea market
#Person1# will organize a school reunion.	haircut and shave
#Person1# phones #Person2# to discuss his talk next month.	gratitude
#Person2# feels cold and has a headache and a sore throat.	refurnish the kitchen
#Person1# recommends #Person2# to buy more life insurance.	the pharmacy
#Person1# tells #Person1# he gets up early to exercise.	shopping trip
#Person1# tells #Person1# the boss liked her ideas.	complaint
#Person2# loves cooking because it makes #Person2# satisfied.	have a talk
#Person1# helps #Person2# cancel an account and transfer the money inside the remaining account.	swap some stamps
#Person1# tells #Person2# #Person1# can't go home for dinner because #Person1#'s busy.	give up smoking
#Person1# says the stockholders voted to block the merger but the executive committee supported the merger.	pay a visit
#Person2# tells #Person1# #Person2# takes the family out in spare time.	make new friends
#Person1#'s family and friends want to recommend some jobs to her.	a driver's license
#Person2# helps #Person1# book a trip for 2 without discounts.	one size small
#Person1#'s angry that #Person2# forgot the file.	a school reunion
#Person1# and #Person2# both voted for #Person3# and are happy he won.	recommend insurance
#Person2# suggests #Person1# buy a bus map from the newspaper stand.	moring exercises
#Person2# tells #Person1# when #Person1# applies for admission, #Person1# should also tell them #Person1# needs financial aids.	find a babysitter
#Person2# wants a joining double room but #Person1# says it's unavailable and recommends a family suite.	band forming
#Person2# spends a manageable amount of time on grading and has at least two days off a week.	business ideas
#Person2# teamed up with #Person2# but #Person2# doesn't do anything because he's upset.	discuss cooking
#Person2#'s a teacher and usually drives to work	leave the department
#Person1# tells #Person2# about a telephone scam.	work late
#Person2#'s thinking about quitting smoking because of its harm to health.	man in love
#Person1# has finished an article and #Person1# invites him to a concert.	stockholders' power
#Person2#'s computer system crashed and #Person1# finds it was infected by the virus.	explain the contract
#Person1# invites #Person2# to a movie but #Person2# needs to prepare and deliver food for homeless people at a soup kitchen.	find a job
#Person1# invites #Person2# to a movie and #Person2# wants to see something funny	book a trip
#Person2#'s exhausted so #Person2#'ll stay at home and watch NBA games because they're exciting.	package tour
#Person1# calls to see #Person2# about some videotapes but #Person2# is out.	financial aids
#Person1# and #Person2# talk about their mounting expenses.	job description
#Person2# apologizes to #Person1# for some miscalculations.	teamwork
#Person1# thinks the Olympics help to promote world peace while #Person2# thinks there's no cooperation but competition behind the Olympics.	describe a route
#Person1# asks about #Person2#'s hobbies, including #Person2#'s favorite sports, favorite author, favorite music, and favorite films.	reasons for lateness
#Person2# tells #Person1# their consumers are purposefully and actively seeking information about their products and services online.	survey on traffic
#Person2#'s doctor told #Person2# to drink less coffee, so #Person1# recommends watermelon juice.	chase a girl
#Person1# thinks her trip to the US was terrific.	phone scam
#Person2# spends 88 yuan buying a linen dress in #Person1#'s shop.	April Fool's Day
#Person1# asks #Person2# to explain co-production, a commonly used trade form.	evening plan
#Person1# asks #Person2# to elaborate on the floating bonus.	delivery service
#Person1# is surprised at #Person2# whose hobbies have changed a lot since high school.	review
#Person1# will check out and needs a porter to carry luggage.	buy a book
#Person2# is going to marry #Person2# but #Person1# hasn't heard about that.	daily expenses
#Person1# tells #Person2# that #Person1# is taking a country music course.	wrong calculation
#Person1# explains why he was late for class to #Person1#.	hobby
#Person1# thinks television is too biased and the internet is even worse.	marketing
#Person1# suggests #Person2# get divorced if #Person2# has no feeling with a man and tell their daughter the white lie.	drinks
#Person2# tells #Person1# to pay for a coat by check at the check-out counter.	trip
#Person2# thinks #Person1# loves Dalian because #Person1# has lived there long enough.	game
#Person1# wants to buy an inexpensive acoustic guitar to play rhythm guitar.	gin and tonic
#Person1# asks #Person2# for a cellphone and explains the charges and the service agreement.	floating bonus
Susan Millers wants to place an order with #Person2# and needs the products in one month.	asthma attack
#Person1# wants to do some shopping but thinks London is an expensive place to live.	change
#Person1# asked #Person2# to lock doors before bed.	book a ticket
#Person2# tells #Person1# to do airport security again because #Person1# forgets to empty #Person1#'s pockets.	cosmetics
#Person1# tells #Person1# about the manners of eating and ordering American food.	credit check
#Person1# tells #Person2# the company will inform the interview result in two weeks by phone, or #Person2# fails.	meet at airport
#Person1# asks why #Person2# didn't call #Person1#, which annoys #Person2#.	paper
#Person1# helps #Person2# pass and ace #Person1#'s test.	way of life
#Person1# tells #Person2# about #Person1#'s broken car.	filter the information
#Person1# and #Person2# talk about the contents of the columns.	engage
#Person1# calls Sewen Jes about the faulty computer #Person1# bought last week.	divorce
#Person2# decides to show #Person1# the lakes and the Li River.	pay by check
#Person1# checks #Person1#'s teeth and will fill the cavity and refit the crown.	beautiful city
Peter Dixon calls #Person2# to confirm the interview.	buy a guitar
#Person2# is busy but #Person1# tells #Person2# about one more task asked by Emory.	operation
#Person1# and #Person2# talk about their new year plan.	airport
#Person1# helps #Person2# withdraw 200 USD from #Person2#'s visa credit card.	test
#Person1# tells Jane Reeve to bring the cash cheque with the correct information to withdraw from the corporate account.	work plan
#Person2# helps #Person1# buys a dark brown leather belt with a size of 36 for #Person1#'s husband by cash.	teenager
#Person2# advises #Person1# to have a picnic on the weekend to be free from exhausting work.	lock doors
#Person1# advises #Person1# to skip the movie tonight.	eating out
#Person1# and #Person2# talk about a friend, Joe.	complain not calling
#Person2# teaches #Person1# how to use a vending machine to buy candy.	open saving accounts
#Person1# and #Person2# make a deal that #Person1# will do the dishes and #Person2# will cook.	living on Mars
#Person1# tells #Person2# that she likes collecting stamps instead of traveling.	season and holiday
#Person1# persuades #Person2# to leave early to meet Pam at the airport.	buy car
#Person2# tells #Person1# that #Person2# likes summer for the outdoor activities, but hates it for the rain and wind.	discuss columns
#Person1# thinks #Person1# loses #Person1#'s purse but #Person2# finds the purse in the restroom.	faulty computer
#Person2# thinks #Person1# loses the job because #Person1# doesn't utilize the time and learn new things.	sight seeing
#Person1# tells #Person2# about a job opportunity for a marketing manager position which requires someone speaking foreign languages.	dentist
#Person2# advises #Person1# to join some clubs, organizations, sports teams, or study groups to make new friends.	make appointment
#Person2# tells #Person1# the directions to the New York Hotel, Central Park, and the subway station.	busy day
Henry Bishop calls the Cambridge Theatre box office to book two 6-pounds tickets for #Person2# and #Person3# on this Saturday.	withdraw money
#Person1# invites #Person2# to see a movie on Friday night but they haven't reached an agreement on what to see.	cooking show
#Person2# tells #Person1# the situation was too urgent that #Person2# has to jump out of the window.	relax after hardwork
#Person1# is late because she had an article.	confession
#Person1# thinks #Person2#'s note looks like a doodle and #Person1# likes to use shorthand note-taking.	rumour
#Person2# has a new business phone with multiple features.	buying a car
#Person2# tells #Person1# how they will redecorate the living room.	dress for work
#Person1# says #Person1#'s cat can't do tricks and #Person1# can't give her a bath every week because she hates water.	favourite season
#Person1# thinks #Person1#'s new job as a manager is challenging but #Person1# is enjoying it.	lose a purse
#Person1#'s mother and #Person2#'s mother both believe in a healthy diet.	lose a job
#Person2# stays behind to help #Person1# clear up after the party.	job opportunity
#Person1# asks #Person2# to leave but #Person2# thinks there's been a misunderstanding.	make friends
#Person1# and #Person2# are preparing for an activity.	eating sushi
#Person1# and #Person2# decide to do Range Dance for the folk-custom activity.	booking tickets
#Person2# tells #Person1# #Person2#'s not in the mood for working.	admirer
#Person2# asks #Person1# to pay in the check-out counter.	medicine
#Person2# is dieting and wants vegetarian entrees.	postpone an appointment
#Person1# finds #Person2#'s estimate for the gala dinner project is not quite what they had in mind.	earthquake
#Person1# teaches #Person2# how to bake a cake.	office romance
#Person1# and #Person2# talk about how to pay the rent.	English teacher
#Person2# tells #Person1# working with the young stars was great.	conference
#Person1# wants to sit on chairs instead of packing cases but #Person2# thinks new chairs are expensive.	note-taking
#Person1# and #Person2# decide to go to the mountains for holiday.	choose a job
#Person1# interviews Chris Cucksy, an artist, in #Person1#'s program.	phone
#Person1# wants to take a test but the test has ended.	redecoration
#Person1# and #Person2# will come back to the library the day after tomorrow.	copier
#Person1# tells #Person1# 10 visitors from India are coming at the end of March.	cockroaches
#Person1# will help to take #Person2#'s paper to Professor #Person3# in Washington and ask #Person3# to point out the mistakes.	go to school
#Person1# tells #Person2# about how fatness may bring trouble to people.	pets
Nathan tells #Person1# he doesn't like gyms because they are just socializing places.	management
#Person1# wants to mail some books and clothes to Australia.	misunderstanding
#Person1# orders a restock including drinks and fruit for #Person1#'s minibar with #Person2#'s assistance.	house price
#Person2#'s car started spewing white smoke and just died.	beef up
#Person1# visits #Person2# and #Person2#'s working up a storm in the kitchen.	home inspection
#Person1# asks #Person2# about family traditions at Christmas time.	estimate
#Person1# thanks for #Person2#'s letter and #Person2# inquires about #Person1#'s waist problem.	bake a cake
#Person1# invites #Person2# to watch movies and have lunch	great experience
#Person1# and #Person2# discuss their ambitions after graduation.	street market
#Person1# complains to #Person2# about #Person1#'s dad's blame.	closed library
#Person1# shares with #Person2# the news of reorganization.	visitors
#Person1# invites #Person2# to go to the movie tonight and #Person2# agrees.	fatness
#Person1# tells #Person2# that Stanley will treat everybody in the ETV palace.	gym
#Person1# comes to In to discuss the possibility of establishing business relations with her corporation.	work abroad
#Person1# invites #Person2# to attend #Person1# and #Person4#'s wedding on May 1st.	shopping online
#Person2# owes some fees but doesn't get a bank statement.	mail
#Person1# and #Person2# talk about the number of their own family members and discuss marriage affairs.	car repair
#Person2# loves skiing in the mountains with friends during the winter holiday.	visit the zoo
#Person1# wants to buy a fridge and asks about Higher products.	future ambitions
#Person1# is pregnant and tells #Person2# not to smoke.	drinking
#Person1# and #Person2# cannot understand the speaker because he's speaking too softly.	reorganization
#Person2# consults about the job #Person2# saw in the ad as an assistant in #Person1#'s agency.	movie invitation
The overseas operator serves #Person2# to place a collect call.	treat
#Person2#'s washing machine isn't working.	wedding invitation
#Person2# needs to transfer money from the UK.	fee cancellation
#Person1# ordered too much and takes the food home for free with #Person2#'s assistance.	order breakfast
#Person1# and #Person2# are climbing the mountain, but #Person2# gets tired soon due to lack of sleep.	late coming
#Person2#'s shopping with #Person1# to help #Person1# choose a suit for the speech.	office supplies
#Person2#'s working in sales now.	work overtime
#Person1#'s got a cold and a headache.	hotel checkout
#Person2# serves #Person1# to reschedule the appointment with #Person3# to next Friday at 10.	see the doctor
Paul Shafer'll show #Person2# around the #Person3# Tools factory site.	request
#Person1# and #Person2# are waiting for a bus.	buy a fridge
#Person2#'ll come to #Person1#'s house for dinner on Friday and #Person1# will prepare a new dish.	package delivery
#Person1#'s got a fever and there's a rash on his arm and bruise on his leg.	speech
#Person2#'s sightseeing in the park with his family.	party invitation
#Person1# invites #Person2# to have French food to show their appreciation for her presentation.	job seeking
#Person1#'s questioning #Person2# at the customs.	washing machine
#Person1# requests #Person2# to find her handbag she left in the coffee shop.	inquiry about loans
#Person2# started the new job the day before yesterday and is satisfied with it.	traveling plan
#Person2# has caught a cold because of the bad weather.	letter of application
#Person2# play a trick on #Person1# as it's April Fools' Day, which reminds #Person1# of his wife's birthday.	test results
#Person1# ran a red light but #Person1# doesn't realize that.	a restaurant
#Person1# calls #Person2# to ask why #Person1# didn't receive an unemployment check this week.	traffic rules regulation
#Person1# turns to #Person2# for help as the plumbing in #Person1#'s apartment doesn't work.	take the subway
#Person2# tells #Person1# why #Person2# is rude to #Person2#'s wife.	get a fever
#Person1# introduces and recommends the group account management service to #Person2# and #Person2# wants to see the testimonials.	take a picture
#Person2# tells #Person1# the weather forecast for today.	order a hotel
#Person1# will visit #Person2# tonight and #Person2# tells #Person1# the best way to her house.	taste
#Person2# shares with #Person1# the feelings of working with one of their colleagues.	at customs
Liu Wei and #Person2# introduce themselves to each other at a party.	a snack food
#Person1# is looking for a job.	computer technical support
#Person2# is not satisfied with #Person2#'s appearance and wants to have plastic surgery.	lose a handbag
#Person1# and #Person2# are talking about #Person3#'s misfortune.	a new job
#Person1# asks #Person2# a question but #Person2# didn't answer directly.	picnic invitation
#Person1# asks #Person2# the information of the bus pass and wants to get the student bus pass.	eat
